(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00O2EMGHA,B00O2EMGHA,Doctor Who TARDIS Royal Blue Lounge Pants (Adult Small),drwho057-S,132,1,0.04%,0.03%,171,2,0.04%,0.05%,100.00%,100.00%,1,0,0.76%,0.00%,$27.95,$0.00,1,0
B07BJ3ZZ3H,B00O2FI92K,STAR WARS R2-D2 Toddler Costume T-Shirt (3T) White,starwars093-3T,23,0,0.01%,0.00%,25,0,0.01%,0.00%,100.00%,0.00%,1,0,4.35%,0.00%,$16.95,$0.00,1,0
B07C87QPG7,B00O940U8U,Mermaid Tail Purple Fin Costume (L/XL),mermaidfin001PURPLE-L/XL,82,3,0.03%,0.09%,85,3,0.02%,0.07%,100.00%,100.00%,1,0,1.22%,0.00%,$19.95,$0.00,1,0
B07C87QPG7,B00O940VU2,Mermaid Tail Pink Fin Costume (L/XL),mermaidfin001PINK-L/XL,66,0,0.02%,0.00%,73,0,0.02%,0.00%,100.00%,0.00%,1,0,1.52%,0.00%,$19.95,$0.00,1,0
B00OE75QUO,B00OE75QUO,A League of Their Own Rockford Peaches Costume Socks,rockfordsocks001,20,0,0.01%,0.00%,23,0,0.01%,0.00%,95.65%,0.00%,1,0,5.00%,0.00%,$5.95,$0.00,1,0
B00OE75RQM,B00OE75RQM,Game of Thrones Khaleesi Daenerys Targaryen DELUXE Halloween Costume Wig Mermaid Elsa Cosplay,gameofthronesprincesswigDLX,189,6,0.06%,0.18%,209,8,0.05%,0.19%,97.61%,100.00%,1,1,0.53%,16.67%,$14.80,$14.80,1,1
B00OJOXUJG,B00OJOY01I,DC Comics Superman Silver Logo Men's Performance Compression Athletic T-Shirt (Adult Medium),super068-M,108,0,0.04%,0.00%,118,0,0.03%,0.00%,98.26%,0.00%,1,0,0.93%,0.00%,$19.95,$0.00,1,0
B00OJOXTPQ,B00OJOY8W4,The Green Lantern Men's Performance Compression Athletic T-Shirt (Adult Large),greenlantern028-L,19,0,0.01%,0.00%,21,0,0.01%,0.00%,100.00%,0.00%,1,0,5.26%,0.00%,$16.99,$0.00,1,0
B00PCZMC40,B00PCZN2W6,Star Trek I Am Spock Adult Light Blue Costume Hoodie (Adult Large),startrek034-L,9,0,0.00%,0.00%,9,0,0.00%,0.00%,100.00%,0.00%,1,0,11.11%,0.00%,$24.95,$0.00,1,0
B07BR93CYY,B00PCZP9OK,Looney Tunes Tweety #Selfie Juniors Pink T-Shirt (Juniors Small),looneytunes026-S,10,0,0.00%,0.00%,12,0,0.00%,0.00%,75.00%,0.00%,1,0,10.00%,0.00%,$12.95,$0.00,1,0
